Politik,Strana,Relácia,Výrok,Rok,Mesiac,Hodnota
Martin Klus,SaS,O 5 minút 12,"V roku 2015, 12. 11. návrh na vyslovenie súhlasu s prítomnosťou zahraničných ozbrojených síl na území Slovenskej republiky, konkrétne amerických ozbrojených síl, v rámci tzv. NFIU, ktoré máme vo Vajnoroch, boli to poslanci Smeru, ktorí všetci zdvihli ruku za takéto niečo.",2022,2,Pravda
Marián Kéry,SMER-SD,O 5 minút 12,"ITP (o odpočúvaní vyšetrovateľov NAKA, pozn.) prostriedky boli získané legálnym spôsobom.",2022,2,Pravda
Richard Sulík,SaS,Na telo,"Z Ukrajiny, ale aj Ruska sa dováža vo veľkej miere pre U. S. Steel železná ruda a uhlie a teda koks a najmä tá železná ruda. Pravidelne komunikujem s našimi veľvyslancami v Ukrajine aj v Rusku. Som v kontakte s vedením U. S. Steel, tak doteraz všetko prebieha štandardne. Ale keby sa to zrazu zastavilo, tak U.S. Steel má síce nejaké rezervy, čo vie produkovať, ale dlho by to nevydržalo.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Lepšie to vyzerá pri rope, tam máme potvrdené zásoby na 90 dní. Sú to naše vlastné zásoby v našich vlastných zásobníkoch na území Slovenska, čiže ropu na najbližšie 3 mesiace nevidím žiaden problém.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"To bola moja prvá opcia (vyjednávanie so slovenskými elektrárňami, pozn.), z môjho pohľadu najlepšie riešenie, ale tým, že sa nehýbali, tak sme spolu s Igorom Matovičom pristúpili k druhému najlepšiemu riešeniu. To je tá daň, ale nakoniec ja hovorím aj našťastie, k tej dani nedošlo a máme, máme dohodu, ktorú ja považujem za veľmi dobrú, lebo ľudia vedia, elektrina im nestúpne. Toto ja považujem v tejto dobe za veľmi dôležité a tých 500 EUR, čo som hovoril, keby si tie domácnosti dnes nakúpili na spotových alebo na formátových trhoch elektrinu na rok 23 a 24, tak platili by približne.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Len ja sa pýtam, čo ideme robiť v 2022, pretože v Rakúsku podľa mňa nie sú hlúpejší od Slovákov, ani minister hospodárstva, ani minister financií, ani premiér alebo rakúsky kancelár a tam sa rozhodli ľuďom vyplatiť energetické šeky 150 EUR pre každú domácnosť, tým slabším dokonca 300 EUR pre každú domácnosť.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Vy ste povedali, že to je najúžasnejší krok vlády za posledné roky. My sme v 2019, keď som bol premiér prikázali SPP, keďže išli ceny plynu relatívne vysoko hore, že budú predávať lacnejšie, ako im dovoľuje regulačný úrad a bol to náš jednoduchý pokyn a plyn bol lacnejší a nerobili sme z toho teraz pomaly oslavy na námestiach.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Tento rok majú ľudia hlboko do peňaženky, majú obrovskú infláciu, platy ste dali zvyšovať minimálne, dôchodcovská inflácia je tak nízka, že ste zvýšili hanebne o jedno percento dôchodky.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Kúrenie, tam je už väčší problém. Tamto nie je, že dve-tri eurá, pár percent. Bohužiaľ, niektoré teplárne asi 50 z 338 nenakúpili plyn včas. Andrej Juris, šéf ÚRSO im zaviedol taký koeficient, ktorý im dovolil zvýšiť cenu tepla. Najviac si to odskáču obyvatelia Humenného.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Inde tiež išli hore tie ceny za teplo preto, lebo tie, tie teplárne, teda tí CZT, centrálni zásobovatelia tepla si nekúpili včas NR plyn. Tu sme zaviedli to, bolo to v pondelok, že dali sme nejakú stropovú cenu. Zastropovali sme tú cenu a keď niekto nakupuje 2× drahšie, 3× drahšie, tak má garanciu, že pri trojročnej viazanosti ho plyn bude stáť 80 a nie 160.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Moja vláda aj v 2020 zvýšila platy všetkým verejným a štátnym zamestnancom o 10 %. Inflácia bola niekde na úrovni 1 a pol, dvoch percent, takže kľudne tá situácia bola úplne iná, reálne mzdy ľuďom rástli. Viacej si za výplatu dovolili, ako si môžu dovoliť teraz. Teraz je situácia opačná. Inflácia priemerná, pán redaktor, 8,5. Keď sa pozriete na zeleninu 15 %, oleje a tuky, ktoré sa používajú pri varení, 25 % zdraženie.",2022,3,Pravda
Richard Sulík,SaS,Na telo,Asi 8 % je to draženie.,2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Za posledné 2 roky ste o skoro tretinu zvýšili dlh tejto krajiny. Myslíte si, že kto nakupoval tie dlžobné úpisy, ktorým ste zatiahli náš dlh až nad úroveň 62 %? Z veľkej časti Národná banka Slovenska, Európska centrálna banka za nízke úroky, aby ste to dokázali vôbec financovať.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"… a ešte napísať, že guvernér (Národnej banky Slovenska, pozn.) berie tam plat vysoký za nič. Berie asi taký plat, ako vy (Sulík, pozn.) ste brali ako europoslanec.",2022,3,Nepravda
Richard Sulík,SaS,Na telo,A kurzarbeit je čo? Však tam išli na 2 miliardy EUR.,2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"My sme vám odovzdali krajinu 48,5 % dlh, teraz idete k 63 percentám za 2 roky.",2022,3,Pravda
Peter Pellegrini,Hlas-SD,Na telo,"Oproti roku 2019, kedy ešte končila moja vláda, máte vďaka vysokej inflácii, vyšším odvodom, vyšším daniam, vyššej DPH nadpríjmy 3,5 miliardy oproti mojej vláde. Navyše ste vyzbierali 3,5 miliardy. Kde sú?",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Vyvolané výdavky pri valorizácii, pri, pri tých platoch napr., však tam sme tiež riešili, že o koľko stúpnu platy učiteľom, sestrám potom išli veľké peniaze išli napr. na lieky. Testovania, o tom sa môžme sporiť, či v tom rozsahu malo zmysel, ale napríklad lieky proti covidu. Ja to vidím na vláde, keď to minister zdravotníctva predkladá, to sú akože palety, normálne som prekvapený, že 5 tisíc, 10 tisíc dávok nejakého lieku a bum, účet 70 miliónov.",2022,3,Nepravda
Peter Pellegrini,Hlas-SD,Na telo,"Treba ešte pripomenúť, a to ste tiež ešte nepovedali, pán minister, že ešte aj tých 61 EUR na začiatku relácie, to nie je pre každého občana. Pre každú fyzickú osobu. Ja som počul ešte, že Igor Matovič ide rozlišovať ešte aj domácnosť, lebo tam, kde majú nejaký veľký dom, kde majú bazén, povedal.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Všetky domácnosti dokopy na, na budúci rok spotrebujú 5,87 TWh. Jednotka nie je podstatná. 5,87. My sme vyjednali 6,15 čiže máme tam priestor aj pre nemocnice alebo školy a domovy sociálnych služieb a tak ďalej. To si myslím je správna úvaha, máme vyjednanú nejakú rezervu.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Nie, to nie je pravda a za to, za tú reformu je veľká väčšina koalície. Však neprešla o 2 alebo 3 hlasy, to je teda, to nie je len pani ministerka.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Ja som sa od začiatku vyjadroval, že obsadenie Krymu bolo v rozpore s medzinárodným právom a keby som bol rusofil, tak ťažko budem dávať Korčoka za ministra zahraničných vecí.",2022,3,Pravda
Richard Sulík,SaS,Na telo,"Nepamätáte sa, tam 70 000 000 zmenku, nejaký, nejaká sudkyňa Kočnerovi normálne odklepla. Alojz Baránik mal výrok v parlamente. Neviem, čo. Bum, 200 000 pokuta.",2022,3,Nepravda
Peter Pellegrini,Hlas-SD,Na telo,"Pani Kolíková je naozaj jediná, kto tú súdnu reformu podporuje. Nepočul som ani občanov, nepočul som ani úradníkov, vyšších súdnych, ani sudcov, ani asistentov sudcov, ani advokátov, ani prokurátorov, nikoho, ani políciu, že by to vôbec s tým niečo súhlasili.",2022,3,Nepravda
Peter Pellegrini,Hlas-SD,Na telo,"SPP, matka to je vec, ktorú Robert Fico kúpil okolo roku 2014 do štátneho vlastníctva. 6 rokov po sebe robila stratu 70 až 100.000.000 EUR ročne. Pol miliardy za 6 rokov stratu, samotná matka. Len tá strata bola kašírovaná, bola prekrývaná tým, že mala ešte bohaté dcéry, ktoré každý rok odvádzali zisk. Teraz už samotná matka je v zisku a to nám napr. umožnilo stropovať ceny plynu pre teplárne, ktoré si zanedbali tú svoju povinnosť pri nákupe a to platí už ihneď teraz, tento rok, pretože ste povedali, že sme tento rok nespravili nič. To je 1 vec, čo som chcel spomenúť. Druhá vec, napr. aj JAVYS má nový manažment a hospodária, teda fungujú hospodárnejšie a napr. si mohli dovoliť po asi tridsiatich, štyridsiatich rokoch neriešeného problémy vyzbierať všetok rádioaktívny odpad z nemocníc a zdravotníckych zariadení. Teraz sa to riadne uskladní a zlikviduje. V JAVYS-e v Bohuniciach sa to uskladní a potom sa to zlikviduje.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"Ešte som ho (Andreja Danka, pozn.) asi nepočul použiť jeden pravdivý výrok v akejkoľvek relácii. ",2022,3,Nepravda
Jaroslav Naď,Oľano,Na hrane,"Nech prestanú (Rusi, pozn.) likvidovať nemocnice, už ich zničili myslím cez 200. Školy, atď.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"Realita je taká, že Rusko absolútne bezdôvodne napadlo Ukrajinu. Rusko tam 8 rokov okupovalo územie, Rusko tam 8 rokov zabíjalo ľudí, Rusko tam 8 rokov zobralo Krym a Rusko teraz zabilo už niekoľko tisíc nevinných Ukrajincov a ďalšie milióny vytlačilo z územia.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,...akým spôsobom proruská propaganda sa snaží meniť naratív štátu a on tomu podľahol.,2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"(Andrej Danko, pozn.) zabránil veľakrát schváleniu strategických dokumentov, bezpečnostnej stratégie, zmluvy s Američanmi.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"Celý svet vyhosťoval ruských agentov, ktorí mali diplomatické krytie, len Slovenská republika to neurobila, lebo on to zakázal. Povedal, že keď vyhostíme ruských špiónov zo Slovenska, tak on odíde z koalície.",2022,3,Pravda
Andrej Danko,SNS,Na hrane,Ja som dostal 2× pozvánku do kongresu Spojených štátov.,2022,3,Neoveriteľné
Andrej Danko,SNS,Na hrane,"Pán Korčok bol minulý rok 2× v Rusku a nikto ho neprijal, bol tam aj pán Sulík, ktorý sa akurát odfotil pri Aurore.",2022,3,Nepravda
Andrej Danko,SNS,Na hrane,"Vždy som bojoval za Slovákov, aby mali takú dobrú cenu plynu ako majú Maďari.",2022,3,Pravda
Andrej Danko,SNS,Na hrane,"Syn majiteľa ESET-u ukázal, že má identifikačné čísla na Facebooku, že dokáže merať a vyhodnocovať návyky na internete v sociálnych sieťach a ukázal, že má dáta, ktoré nemôže mať nikto iný.",2022,3,Nepravda
Andrej Danko,SNS,Na hrane,Po mojej návšteve v dume tam išiel predseda rakúskeho parlamentu a tak som chodil aj do Nemecka aj do Francúzska.,2022,3,Pravda
Andrej Danko,SNS,Na hrane,"Pán Naď podrazil aj svojho šéfa Igora Matoviča, pretože táto proamerická zostava s Čaputovou, Naďom a s Korčokom odstavili Igora Matoviča z pozície premiéra, keď doviezol Sputnik.",2022,3,Nepravda
Jaroslav Naď,Oľano,Na hrane,"Druhá vec, o ktorej hovoril, bola o tom, že OSN má rozhodnúť veci na, na Ukrajine. Však ale veď OSN sa snažila rozhodnúť, ale Rusi to zablokovali, pán Danko. Oni majú právo veta.",2022,3,Pravda
Andrej Danko,SNS,Na hrane,"...pána Zelenského, ktorý bol na zoznamoch Panama Papers.",2022,3,Pravda
Andrej Danko,SNS,Na hrane,"Chcete tu do okolia Prešova umiestniť 2100 vojakov, 700 Nemcov, 400 Američanov.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"Už to nie je tak, ako za pána Danka, že dal na mňa spravodajské služby, aby ma sledovali, odpočúvali a aby robili kadejaké veci a potom mu tam chodil Balciar hlásiť jednoducho, čo so mnou je.",2022,3,Neoveriteľné
Jaroslav Naď,Oľano,Na hrane,"V zmysle Charty OSN, ak o tom neviete krajina, ktorá je napadnutá, tzn. Ukrajina, má právo zabezpečiť si dodávky zbraňových a obranných systémov na svoju obranu. Je to v zmysle medzinárodného práva.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,Tí Rusi tam robia genocídu obyvateľov.,2022,3,Neoveriteľné
Jaroslav Naď,Oľano,Na hrane,"Kým Danko presadzoval pokračovanie s ruskou technikou, podpísal na ďalších 5 rokov migy a neviem čo všetko, tak my sa snažíme závislosti na ruskej technike zbaviť, lebo nám nevedia opraviť. V tomto momente ani náhradné diely neviete kúpiť, nevie ich nikto opraviť atď.",2022,3,Pravda
Andrej Danko,SNS,Na hrane,"Máme nárast cien energií, neriešia sa platy zdravotníkov, neriešia sa učitelia.",2022,3,Nepravda
Jaroslav Naď,Oľano,Na hrane,"30 krajín sveta, možno viac. Minimálne 30, čo vieme, pomáha Ukrajine aj vojenským materiálom.",2022,3,Pravda
Jaroslav Naď,Oľano,Na hrane,"Doteraz máme 170 000 utečencov, ktorí prišli pred vojnou pred tým mierumilovným Putinom, pán Danko. Utiekli zo svojich krajín. 170 000 na naše územie. Keď si zoberieme situáciu, že Slovensko je 8× menšie ako Poľsko, tak na jedného obyvateľa máme taký istý počet utečencov na Slovensku ako majú Poliaci.",2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"Ale v každom prípade bolo zvykom, že chodievali vojaci na tieto misie NATO do pobaltských štátov, ktoré priamo susedia s Ruskou federáciou a častokrát tam boli veľmi tvrdé výmeny odkazov, dokonca my sme poskytovali takisto našich vojakov. Mali tam permanentne ochranu vzdušného priestoru, pretože sú príliš malé štáty, na to, aby mali vlastné letectvo, čo je normálne a aj v poriadku, aj sme do toho prispievali.",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,Rusko nás označilo za nepriateľský štát. To je fakt.,2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"Nielenže teraz urobili zmluvu o to, aby niekto tam varil na tej východnej hranici, napriek tomu, že tam sú minimálne 3 veľké zariadenia štátne, ktoré by to bez problémov zvládali.",2022,3,Neoveriteľné
Róbert Kaliňák,SMER-SD,V politike,"Teraz uzavreli zmluvu za 2,5 milióna s nejakou firmou, ktorú teda ja som nikdy nepočul a ktorá má manažovať utečeneckú krízu. Súkromná firma má manažovať utečeneckú krízu.",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,"Ja si dovolím zareagovať na to, čo povedal pán Kaliňák, je ten fakt, že my máme systém protivzdušnej obrany S300 a tento systém je ruský. To je v poriadku. Dostali sme ho deväťdesiatych rokoch, ale tento systém má náhradné diely z Ruska. Dokonca časť servisu sa robila na Ukrajine, resp. v Rusku. Neviem, nie som si istý, že či tú chodia aj ruskí technici alebo my sme tam posielali tie dielce. Ale čo je podstatné je, že dnes ho nevieme servisovať plnohodnotne. Tzn. že ten Patriot, ktorý tu príde, je servisovaný Holanďanmi, Nemcami a ďalšími, ktorí ho vyrábali a bude schopný chrániť naše územie, keď S300 sa napríklad pokazí a to teda veľmi zjednoduším, pretože dneska nevieme ani kúpiť náhradné diely, ani zavolať tých ruských technikov, aby nám to prišli opraviť.",2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"Jediný, kto to zachránil sú mestá a obce. To je rozhodujúce. Tí ubytovali. Ministerstvo vnútra ešte pred troma týždňami odmietalo ubytovať utečencov. Posledný týždeň ubytováva.",2022,3,Nepravda
Juraj Šeliga,Za ľudí,V politike,"No týka sa nás to, veď sám viete a vedia to aj diváci, že myslím 26 km od poľských hraníc padli rakety ruské. Užhorodské letisko, tá pristávacia plocha končí ja neviem 58 metrov od našej štátnej hranice. Tzn. že keď sa Rusi rozhodnú bombardovať Užhorod, tak je možné, že tie rakety padnú na naše územie. Veď to vieme.",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,"U nás nezostáva až tak veľa ľudí (pozn. utečencov z Ukrajiny), je to okolo 30 000 cez dočasné útočisko a možno 15 000, ktorí sa ešte rozhodujú. Väčšina ide preč.",2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"Predovšetkým mal dopredu nastavené tieto podmienky a Patria ťažila z toho, že vlastne ešte minister Gajdoš urobil vlastný vývoj toho vozidla, ktorý dneska vlastne ponúkajú. Tá Vydra vlastne bola to isté. Už aj za to štát zaplatil.",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,"Tu môj spoludiskutujúci je právnik, tzn. ja vás odporúčam na to rozhodnutie NBÚ, ktoré bolo zverejnené aspoň sčasti. Tam nájdete dôvody, podľa mňa zákonné dôvody, prečo bolo zrušené alebo resp.vypnutý ten web (pozn. Hlavné správy).",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,"To nie je tak, ako tu opäť vykresľuje opozícia, že niekto sa rozhodne vypínačom vypínam nejaký server alebo web a hotovo. Tam sú jasný postup od polície, Slovenskej informačnej služby, vojenského spravodajstva…",2022,3,Neoveriteľné
Róbert Kaliňák,SMER-SD,V politike,"V podstate sa kúpi len veža z FVPU z Dubnice nad Váhom a nič iné, tzn. to, čo bolo na rozdiel od Vydry, že kde malo pracovať 16 slovenských podnikov (pozn. porovnanie Patrie a Vydry v otázke toho, ako veľmi sa budú podieľať slovenské firmy).",2022,3,Zavádzajúce
Juraj Šeliga,Za ľudí,V politike,"Naposledy, keď sme boli spolu v inej televízii, ste mi hovorili, že v žiadnom prípade sa nestane niečo také, že by sa nás vojna dotýkala alebo že by proste nejakým spôsobom vojna vôbec na Ukrajine bola. Že to nie je úplne jasné. Vtedy sa ešte nebojovalo.",2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"Lebo sme boli 20 rokov vo vláde a stačil nám 17 miliardový rozpočet, aby ten štát fungoval a boli obedy zadarmo.",2022,3,Pravda
Juraj Šeliga,Za ľudí,V politike,"Nehovorme a nepodsúvajme, prosím toto, že na Ukrajine sa dialo to isté, čo sa dialo v Juhoslávii. Tam prebiehala genocída. Na Ukrajine, to povedal myslím v pondelok, medzinárodný trestný súd, žiadna genocída Rusov neprebiehala. Ten zásadný rozdiel je, že predstavitelia vtedajšej juhoslovanskej vlády, časť obyvateľstva vyhladzovali. Na Ukrajine, Zelenský alebo jeho vláda, nerobila nič proti Rusom nič.",2022,3,Pravda
Róbert Kaliňák,SMER-SD,V politike,"My sme urobili diverzifikáciu. Však práve za vlády Smeru sa podarilo, že môžeme brať aj iný plyn, nielen ruský. My sme pomáhali Ukrajine v 2014, keď ich Rusi chceli vypnúť od plynu, aby nezamrzli. Veď Smer urobil toto nepriateľské gesto voči Ruskej federácii, keď sme im dali naspäť plyn.",2022,3,Pravda
